Date,Title,Date,"Community (city,town, ward)",LGA,State,Total Deaths,Boko Haram (P),State Actor (P),Sectarian Actor (excluding BH) (P),Other Armed Actor (P),Kidnapper (P),Robber (P),Other (P),Election-related Actor (P),Cameroon State Actor (P),Boko Haram (V),State Actor (V),Sectarian Actor (V),Other Armed Actor (V),Political Actor (V),Kidnapper (V),Kidnapee (V),Robber (V),Journalist (V),Civilian (V),Election-related Actor (V),Cameroon State Actor,Bomb,Gun,Machete,Suicide Bombing,Other Weapon,TK,Drinking Establishment,Goverment Building,Church,Mosque,Bank,School,Other Location,Notes,Sources 1,Sources 2,Sources 3,Latitude,Longitude,full place name
2011-10-02,Attacks in Zamfara Leave Nineteen Dead,10/2/2011,Lingyado,,Zamfara,19.0,,,,,,,,,,,,,,,,,,,,,,,Gun,,,,,,,,,,,,,http://news.yahoo.com/19-killed-communal-clashes-north-nigeria-125559763.html,http://allafrica.com/stories/201110030310.html,,,,", Zamfara, Nigeria"
2012-02-06,Gunmen Assassinate Businessman in Zamfara,2/6/2012,Gusau Road,Maru,Zamfara,1.0,,,,Other Armed Actor,,,,,,,,,,,,,,,1.0,,,,Gun,,,,Targeted Killing,,,,,,,Other,one report,http://allafrica.com/stories/201202080505.html,,,,,"Maru, Zamfara, Nigeria"
2012-06-10,Gunmen Kill 27 in Zamfara,6/10/2012,Dangulbi,Maru,Zamfara,27.0,,,Sectarian Actor,,,,,,,,1.0,26.0,,,,,,,,,,,Gun,,,,,,,,,,,Other,"although reported as robbers, nothing was stonlen, indicating that this was a reprisal attack by criminals against security operations in the state.",http://allafrica.com/stories/201206120146.html,http://allafrica.com/stories/201206120168.html,,,,"Maru, Zamfara, Nigeria"
2012-10-31,Gunmen kill Kaboro Village Head And 16 Others in 4 a.m. Shooting Spree,10/31/2012,Kaboro,,Zamfara,20.0,,,,Other Armed Actor,,,,,,,,,,,,,,,20.0,,,,Gun,,,,,,,,,,,Other,,http://saharareporters.com/news-page/gunmen-kill-kaboro-village-head-and-16-others-4-am-shooting-spree-%C2%A0,http://www.foxnews.com/world/2012/10/31/20-dead-in-north-nigeria-attack-officials-say/,,,,", Zamfara, Nigeria"
2012-12-14,Ex-Zamfara Commissioner Shot Dead,12/14/2012,,Gusau,Zamfara,1.0,,,,Other Armed Actor,,,,,,,,,,1.0,,,,,,,,,Gun,,,,Targeted Killing,,,,,,,Other,,http://247ureports.com/ex-zamfara-commissioner-shot-dead/,http://www.tribune.com.ng/news2013/index.php/en/component/k2/item/1357-boko-haram-wants-to-attack-me-benue-gov,,,,"Gusau, Zamfara, Nigeria"
2012-12-14,Gunmen Kill 10 Vigilantes in Zamfara,12/14/2012,Rukudawa Village,Zurmi,Zamfara,10.0,,,,Other Armed Actor,,,,,,,,,10.0,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://allafrica.com/stories/201212170816.html,http://www.vanguardngr.com/2012/12/gunmen-kill-10-vigilante-members-in-zamfara-cut-off-private-parts/,,,,"Zurmi, Zamfara, Nigeria"
2013-01-05,Bandits Kill 7 in Northern Nigeria,1/5/2013,,,Zamfara,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.modernghana.com/news/438294/1/bandits-kill-seven-in-northern-nigeria-official.html,http://allafrica.com/stories/201301070250.html,http://allafrica.com/stories/201301070250.html,,,", Zamfara, Nigeria"
2013-01-05,Bandits Kill 7 in Northern Nigeria,1/5/2013,,,Zamfara,10.0,,,Sectarian Actor,,,,,,,,,10.0,,,,,,,,,,,Gun,,,,,,,,Mosque,,,,,http://www.modernghana.com/news/438294/1/bandits-kill-seven-in-northern-nigeria-official.html,http://allafrica.com/stories/201301070250.html,,,,", Zamfara, Nigeria"
2013-02-24,Seven killed in fresh gunmen attack in northern Nigeria,2/24/2013,Beni,Maru,Zamfara,7.0,,,,Other Armed Actor,,,,,,,,,,,,,,,7.0,,,,Gun,,,,,,,,,,,Other,,http://news.xinhuanet.com/english/world/2013-02/25/c_132189266.htm,http://www.naijahidi.org/reports/view/836,,,,"Maru, Zamfara, Nigeria"
2013-06-18,Gunmen Kill 50 in Zamfara,6/18/2013,Kizara,Tsafe,Zamfara,52.0,,,Sectarian Actor,,,,,,,,,52.0,,,,,,,,,,,Gun,,,,,,,,,,,,,http://allafrica.com/stories/201306190198.html?viewall=1,http://www.naharnet.com/stories/en/87440-armed-gang-kills-48-in-raid-in-nigeria,http://blueprintng.com/new/2013/06/gunmen-kill-65-in-zamfara-borno/,,,"Tsafe, Zamfara, Nigeria"
